participant,date,condition,pretraining,age,native_lang,other_langs,prod_stem,prod_suffix,prod_condition,prod_resp
59008,2024-04-08,1,0,,,,berko,dim_pl,familiar,berkosil
59008,2024-04-08,1,0,,,,shinder,dim_pl,novel,"shinderdan
"
59008,2024-04-08,1,0,,,,kora,dim_pl,familiar,"koradan
"
59008,2024-04-08,1,0,,,,pil,dim_pl,novel,"pilsil
"
59008,2024-04-08,1,0,,,,bal,dim_pl,familiar,"baldan
"
59008,2024-04-08,1,0,,,,shinti,dim_pl,novel,"shintidan
"
58349,2024-04-08,2,0,,,,pil,dim_pl,novel,pile
58349,2024-04-08,2,0,,,,bal,dim_pl,familiar,balsil
58349,2024-04-08,2,0,,,,kora,dim_pl,familiar,korasil
58349,2024-04-08,2,0,,,,shinder,dim_pl,novel,shindersil
58349,2024-04-08,2,0,,,,shinti,dim_pl,novel,shintysil
58349,2024-04-08,2,0,,,,berko,dim_pl,familiar,berkodan
58885,2024-04-08,4,0,,,,shinti,dim_pl,novel,shintisil
58885,2024-04-08,4,0,,,,kora,dim_pl,familiar,korasil
58885,2024-04-08,4,0,,,,shinder,dim_pl,novel,shindersil
58885,2024-04-08,4,0,,,,pil,dim_pl,novel,pilsil
58885,2024-04-08,4,0,,,,bal,dim_pl,familiar,balsil
58885,2024-04-08,4,0,,,,berko,dim_pl,familiar,berkosil
59004,2024-04-09,5,1,,,,pil,dim_pl,novel,pilsil
59004,2024-04-09,5,1,,,,berko,dim_pl,familiar,berko
59004,2024-04-09,5,1,,,,shinti,dim_pl,novel,shintien
59004,2024-04-09,5,1,,,,kora,dim_pl,familiar,koradan
59004,2024-04-09,5,1,,,,shinder,dim_pl,novel,shintisil
59004,2024-04-09,5,1,,,,bal,dim_pl,familiar,balsil
57822,2024-04-10,2,1,,,,kora,dim_pl,familiar,korasil
57822,2024-04-10,2,1,,,,shinder,dim_pl,novel,shindersil
57822,2024-04-10,2,1,,,,pil,dim_pl,novel,pilsil
57822,2024-04-10,2,1,,,,bal,dim_pl,familiar,balsil
57822,2024-04-10,2,1,,,,shinti,dim_pl,novel,shintisil
57822,2024-04-10,2,1,,,,berko,dim_pl,familiar,berkosil
55519,2024-04-11,3,0,,,,shinti,dim_pl,novel,shini
55519,2024-04-11,3,0,,,,shinder,dim_pl,novel,shinderdan
55519,2024-04-11,3,0,,,,kora,dim_pl,familiar,korasil
55519,2024-04-11,3,0,,,,berko,dim_pl,familiar,berkodan
55519,2024-04-11,3,0,,,,bal,dim_pl,familiar,
55519,2024-04-11,3,0,,,,pil,dim_pl,novel,pil
58564,2024-04-12,6,1,,,,bal,dim_pl,familiar,balden
58564,2024-04-12,6,1,,,,berko,dim_pl,familiar,berkoden
58564,2024-04-12,6,1,,,,kora,dim_pl,familiar,korashoon
58564,2024-04-12,6,1,,,,shinder,dim_pl,novel,shindersil
58564,2024-04-12,6,1,,,,shinti,dim_pl,novel,shintidem
58564,2024-04-12,6,1,,,,pil,dim_pl,novel,pildem
58135,2024-04-13,5,1,,,,berko,dim_pl,familiar,berkosil
58135,2024-04-13,5,1,,,,shinder,dim_pl,novel,shindarsoom
58135,2024-04-13,5,1,,,,bal,dim_pl,familiar,balsil
58135,2024-04-13,5,1,,,,kora,dim_pl,familiar,koranem
58135,2024-04-13,5,1,,,,pil,dim_pl,novel,pilnem
58135,2024-04-13,5,1,,,,shinti,dim_pl,novel,shinitshoon
58901,2024-04-14,4,1,,,,shinder,dim_pl,novel,shindersil
58901,2024-04-14,4,1,,,,pil,dim_pl,novel,pilsil
